Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
16,K026,P.S. 26 - BROOKLYN,DOE - RESOA,FY21 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,150000,0,DSF0001008233
16,K035,I.S. 35 - BROOKLYN,SCA IEH,"PO18-ABATE AND REPAIR DAMAGED CEILINGS LOCATIONS: ROOMS 104, 111, 119, 201, 209, 213, 216, 301, 306,",Construction,Complete,7/11/2025,IEH,8/20/2025,IEH,891,141,SCA0000074432
16,K035,I.S. 35 - BROOKLYN,Fast Track Projects,FY18 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,8/15/2024,FTK,,FTK,46946,46906,DSF0000867278
16,K035,I.S. 35 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000,0,DSF0001112536
16,K035,BKLYN BROWNSTONE SCL - K,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000,0,DSF0001112537
16,K035,I.S. 35 - BROOKLYN,DOE - RESOA,FY23 RESO A MULTIMEDIA CENTER,Construction,In-Progress,7/1/2025,DOER,,DOER,99026,0,DSF0001035387
16,K035,I.S. 35 - BROOKLYN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,3/8/2024,DOES,,DOES,466075,0,DSF0001085711
16,K035,I.S. 35 - BROOKLYN,Trust For Public Land,TPL- EXTREME WEATHER PLAYGROUND UPGRADE,Construction,In-Progress,6/1/2024,TPL,,TPL,2024961,920859,DSF0001034695
16,K040,P.S. 40 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,5/22/2025,10/8/2025,9/12/2025,250713,51043,50667,"DSF0001116068, DSF0001116069, DSF0001116070, DSF0001116071"
16,K040,P.S. 40 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Design,PNS,PNS,PNS,PNS,1169994,1169994,132272,"DSF0001116068, DSF0001116069, DSF0001116070, DSF0001116071"
16,K040,P.S. 40 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,18552753,18552753,8300,"DSF0001116068, DSF0001116069, DSF0001116070, DSF0001116071"
16,K040,P.S. 40 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,1838561,1838561,10517,"DSF0001116068, DSF0001116069, DSF0001116070, DSF0001116071"
16,K040,P.S. 40 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/1/2024,10/30/2024,7/2/2024,4189,1319,1319,DSF0001087377
16,K040,P.S. 40 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,7/2/2024,12/30/2024,12/18/2024,18848,5277,5277,DSF0001087377
16,K040,P.S. 40 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,5/8/2025,4/2/2026,,242933,221201,2274,DSF0001087377
16,K040,P.S. 40 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,5/8/2025,4/2/2026,,78436,60812,4668,DSF0001087377
16,K040,P.S. 40 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/18/2025,DIIR,6/17/2025,DIIR,75000,75000,DSF0001112540
16,K040,GOTHAM PROFESSIONAL ARTS ACAD - K,DOE - RESOA,FY14 RESO A VENTILATION,Construction,PNS,PNS,PNS,PNS,DOER,40000,0,DSF0000798800
16,K040,P.S. 40 - BROOKLYN,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,137402,0,DSF0001035389
16,K040,P.S. 40 - BROOKLYN,DOE - RESOA,FY25 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,175000,0,DSF0001112539
16,K040,P.S. 40 - BROOKLYN,DOE - RESOA,FY25 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,450000,0,DSF0001112541
16,K057,WHITELAW REID ACADEMY OF ARTS AND BUSINESS - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY / WINDOWS / PAVED AREAS- CONCRETE,Scope,Complete,7/6/2022,11/21/2022,5/26/2023,87871,128662,128662,"DSF0001010344, DSF0001010345, DSF0001085605, DSF0001061040"
16,K057,WHITELAW REID ACADEMY OF ARTS AND BUSINESS - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY / WINDOWS / PAVED AREAS- CONCRETE,Design,Complete,7/26/2023,12/28/2023,2/13/2024,428097,389482,340636,"DSF0001010344, DSF0001010345, DSF0001085605, DSF0001061040"
16,K057,WHITELAW REID ACADEMY OF ARTS AND BUSINESS - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY / WINDOWS / PAVED AREAS- CONCRETE,Construction,In-Progress,11/12/2024,4/5/2026,,8658040,7853152,227457,"DSF0001010344, DSF0001010345, DSF0001085605, DSF0001061040"
16,K057,WHITELAW REID ACADEMY OF ARTS AND BUSINESS - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY / WINDOWS / PAVED AREAS- CONCRETE,"CM,F&E",In-Progress,11/12/2024,4/5/2026,,699564,94743,94743,"DSF0001010344, DSF0001010345, DSF0001085605, DSF0001061040"
16,K057,WHITELAW REID ACADEMY OF ARTS AND BUSINESS - BROOKLYN,SCA IEH,PO18-RESPONSE ACTION DUE TO OBSERVED DAMAGE FROM PS LOCATIONS: 2050A AUTIORIUM STAGE: THEATER CURTAI,Construction,In-Progress,5/23/2025,IEH,,IEH,961,211,SCA0000074300
16,K057,WHITELAW REID ACADEMY OF ARTS AND BUSINESS - BROOKLYN,SCA IEH,PO18-PLEASE ABATE AND DRILL HOLES IN ACOUSTICAL CEILING PLASTER IN 1ST FLOOR SERVING ROOM TOTAL 4 HO,Construction,Complete,8/1/2025,IEH,9/24/2025,IEH,6935,324,SCA0000074549
16,K057,WHITELAW REID ACADEMY OF ARTS AND BUSINESS - BROOKLYN,Fast Track Projects,BUILDING DRAIN BACKUP,Construction,In-Progress,10/12/2017,FTK,,FTK,6659307,6575549,SCA0000047569
16,K057,WHITELAW REID ACADEMY OF ARTS AND BUSINESS - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000,0,DSF0001112546
16,K057,BROOKLYN ACADEMY OF GLOBAL FINANCE - K,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/24/2025,DIIR,7/28/2025,DIIR,75000,75000,DSF0001112547
16,K057,BROOKLYN ACADEMY OF GLOBAL FINANCE - K,DOE - RESOA,FY22 RESO A ROOM CONVERSION,Construction,In-Progress,7/7/2023,DOER,,DOER,95591,0,DSF0001033127
16,K057,WHITELAW REID ACADEMY OF ARTS AND BUSINESS - BROOKLYN,DOE - Skilled Trades,EMERGENCY POWER FOR QUICK CONNECT PROGRAM,Construction,In-Progress,3/20/2025,DOES,,DOES,769505,0,DSF0001083763
16,K081,P.S. 81 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION,Scope,Complete,6/30/2022,11/16/2022,8/29/2023,61630,125021,120012,"DSF0001010642, DSF0001010644, DSF0001061328"
16,K081,P.S. 81 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION,Design,Complete,9/18/2023,2/22/2024,2/15/2024,296459,147712,107934,"DSF0001010642, DSF0001010644, DSF0001061328"
16,K081,P.S. 81 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION,Construction,In-Progress,10/10/2024,4/2/2026,,5659076,5535092,2515867,"DSF0001010642, DSF0001010644, DSF0001061328"
16,K081,P.S. 81 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION,"CM,F&E",In-Progress,10/10/2024,4/2/2026,,519090,297423,294325,"DSF0001010642, DSF0001010644, DSF0001061328"
16,K081,P.S. 81 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000,0,DSF0001112557
16,K243,P.S. 243 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,7/30/2019,12/16/2019,11/14/2019,57772,107168,107168,"DSF0000894741, DSF0000894742, DSF0000894743"
16,K243,P.S. 243 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,12/2/2019,5/4/2020,5/11/2021,285216,559564,476056,"DSF0000894741, DSF0000894742, DSF0000894743"
16,K243,P.S. 243 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,9/20/2021,12/8/2023,,6102371,9566624,7426557,"DSF0000894741, DSF0000894742, DSF0000894743"
16,K243,P.S. 243 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,9/20/2021,12/8/2023,,431713,947021,886099,"DSF0000894741, DSF0000894742, DSF0000894743"
16,K243,P.S. 243 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,6/18/2024,10/18/2024,6/24/2024,3772,1060,1060,DSF0001087433
16,K243,P.S. 243 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,6/24/2024,12/19/2024,12/18/2024,16972,4241,4241,DSF0001087433
16,K243,P.S. 243 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,5/8/2025,4/2/2026,,218747,213519,15442,DSF0001087433
16,K243,P.S. 243 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,5/8/2025,4/2/2026,,70374,56635,6323,DSF0001087433
16,K243,P.S. 243 - BROOKLYN,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF0001112646
16,K243,P.S. 243 - BROOKLYN,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Design,PNS,PNS,PNS,PNS,49500,49500,0,DSF0001112646
16,K243,P.S. 243 - BROOKLYN,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,726000,726000,0,DSF0001112646
16,K243,P.S. 243 - BROOKLYN,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,49500,49500,0,DSF0001112646
16,K243,P.S. 243 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Scope,Complete,2/13/2025,5/14/2025,4/28/2025,21516,21516,21516,DSF0001112645
16,K243,P.S. 243 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,3462,3462,3393,DSF0001112645
16,K243,P.S. 243 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0,0,DSF0001112645
16,K243,P.S. 243 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,3079,3079,3079,DSF0001112645
16,K243,P.S. 243 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF0001113580
16,K243,P.S. 243 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0,0,DSF0001113580
16,K243,P.S. 243 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0,0,DSF0001113580
16,K243,P.S. 243 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0,0,DSF0001113580
16,K243,P.S. 243 - BROOKLYN,SCA IEH,PO18-ABATE PIPE WRAP ON BOTH WASTE AND WATER LINES CRAWL SPACE UNDER KITCHEN . BOTH LINES ARE MARKED,Construction,Complete,6/24/2025,IEH,8/24/2025,IEH,10216,746,SCA0000074392
16,K262,P.S. 262 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,4/6/2021,9/3/2021,6/21/2021,89280,131748,131748,"DSF0000988931, DSF0001008798, DSF0000988932"
16,K262,P.S. 262 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,6/22/2021,11/23/2021,11/10/2021,446400,619204,574904,"DSF0000988931, DSF0001008798, DSF0000988932"
16,K262,P.S. 262 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,7/5/2022,7/3/2024,,10044000,9636417,8358795,"DSF0000988931, DSF0001008798, DSF0000988932"
16,K262,P.S. 262 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / LOW-VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,7/5/2022,7/3/2024,,624960,1046039,1022485,"DSF0000988931, DSF0001008798, DSF0000988932"
16,K262,P.S. 262 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,Complete,1/30/2023,5/1/2023,12/15/2023,0,71758,49326,"DSF0001035507, DSF0001035508"
16,K262,P.S. 262 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,Complete,12/28/2023,5/1/2024,5/21/2024,111450,157654,130017,"DSF0001035507, DSF0001035508"
16,K262,P.S. 262 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,In-Progress,9/2/2025,2/1/2027,,1634601,1403878,14231,"DSF0001035507, DSF0001035508"
16,K262,P.S. 262 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",In-Progress,9/2/2025,2/1/2027,,111450,41419,40555,"DSF0001035507, DSF0001035508"
16,K262,P.S. 262 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/27/2025,DIIR,6/26/2025,DIIR,75000,75000,DSF0001112656
16,K262,P.S. 262 - BROOKLYN,DOE - RESOA,RESO A- RESO A PLAYGROUND,Construction,PNS,PNS,PNS,PNS,DOER,223000,0,DSF0001085308
16,K304,BRIGHTER CHOICE COMMUN SCHL - K,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,7/17/2019,12/3/2019,8/8/2022,147804,142251,142251,"DSF0000912350, DSF0001014355"
16,K304,BRIGHTER CHOICE COMMUN SCHL - K,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,9/16/2022,3/24/2023,5/9/2023,730453,500757,480751,"DSF0000912350, DSF0001014355"
16,K304,BRIGHTER CHOICE COMMUN SCHL - K,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM SYSTEM REPLACEMENT,Construction,In-Progress,9/18/2023,9/6/2025,,15694471,14578986,8627510,"DSF0000912350, DSF0001014355"
16,K304,BRIGHTER CHOICE COMMUN SCHL - K,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",In-Progress,9/18/2023,9/6/2025,,1098847,758268,727634,"DSF0000912350, DSF0001014355"
16,K304,BRIGHTER CHOICE COMMUN SCHL - K,SCA IEH,PO18-ABATE 10 FEET OF ACM PIPE COVERING BASEMENT OF ROOM B5 PIPES MARKED IN RED PAINT,Construction,Complete,5/28/2025,IEH,6/18/2025,IEH,1279,529,SCA0000074318
16,K304,BRIGHTER CHOICE COMMUN SCHL - K,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,5/7/2025,DIIR,7/30/2025,DIIR,75000,75000,DSF0001112673
16,K308,P.S. 308 - BROOKLYN,SCA CIP,PLAYGROUND UPGRADE,Scope,Complete,11/1/2022,2/3/2023,5/15/2023,25491,98185,98185,DSF0001036311
16,K308,P.S. 308 - BROOKLYN,SCA CIP,PLAYGROUND UPGRADE,Design,Complete,5/30/2023,10/16/2023,2/5/2024,127455,260126,235555,DSF0001036311
16,K308,P.S. 308 - BROOKLYN,SCA CIP,PLAYGROUND UPGRADE,Construction,In-Progress,9/16/2024,2/15/2026,,2867739,2674913,1974714,DSF0001036311
16,K308,P.S. 308 - BROOKLYN,SCA CIP,PLAYGROUND UPGRADE,"CM,F&E",In-Progress,9/16/2024,2/15/2026,,178437,106728,100924,DSF0001036311
16,K308,P.S. 308 - BROOKLYN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,1/5/2024,4/5/2024,6/5/2024,46891,46753,46753,DSF0001092832
16,K308,P.S. 308 - BROOKLYN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,6/17/2024,12/20/2024,4/30/2025,218826,176765,171931,DSF0001092832
16,K308,P.S. 308 - BROOKLYN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,3469961,3469961,14983,DSF0001092832
16,K308,P.S. 308 - BROOKLYN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",PNS,PNS,PNS,PNS,343870,343870,34070,DSF0001092832
16,K308,P.S. 308 - BROOKLYN,SCA IEH,PO18-RESPONSE ACTION TO DUE OBSERVED DAMAGE FROM PS 3007 (2ND FL HALLWAY BETWEEN STAIRS A & D). 12X1,Construction,In-Progress,5/28/2025,IEH,,IEH,961,211,SCA0000074316
16,K308,P.S. 308 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000,0,DSF0001112675
16,K308,P.S. 308 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,10/18/2024,DOES,10/30/2024,DOES,65832,19965,DSF0001084615
16,K309,P.S. 309 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Scope,Complete,1/31/2020,7/1/2020,4/7/2020,69310,91170,91170,"DSF0000941045, DSF0000960645"
16,K309,P.S. 309 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Design,Complete,4/8/2020,9/8/2020,8/12/2020,346550,408238,381438,"DSF0000941045, DSF0000960645"
16,K309,P.S. 309 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Construction,In-Progress,8/10/2023,8/8/2025,,7797375,7337530,6538542,"DSF0000941045, DSF0000960645"
16,K309,P.S. 309 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,"CM,F&E",In-Progress,8/10/2023,8/8/2025,,485170,638724,626041,"DSF0000941045, DSF0000960645"
16,K309,P.S. 309 - BROOKLYN,SCA CIP,PARAPETS,Scope,Complete,5/14/2024,9/30/2024,10/22/2024,40855,18985,18985,DSF0001092864
16,K309,P.S. 309 - BROOKLYN,SCA CIP,PARAPETS,Design,Complete,10/31/2024,3/21/2025,7/16/2025,190657,90920,67761,DSF0001092864
16,K309,P.S. 309 - BROOKLYN,SCA CIP,PARAPETS,Construction,PNS,PNS,PNS,PNS,3023283,3023283,784,DSF0001092864
16,K309,P.S. 309 - BROOKLYN,SCA CIP,PARAPETS,"CM,F&E",PNS,PNS,PNS,PNS,299605,299605,16129,DSF0001092864
16,K309,P.S. 309 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/14/2025,DIIR,6/13/2025,DIIR,200000,200000,DSF0001112677
16,K309,P.S. 309 - BROOKLYN,DOE - RESOA,RESO A HYDROPONICS LAB,Construction,In-Progress,9/17/2025,DOER,,DOER,5521,0,DSF0001033540
16,K309,P.S. 309 - BROOKLYN,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,250000,0,DSF0001112676
16,K324,I.S. 267 - BROOKLYN,SCA CIP,SCIENCE LAB UPGRADE,Scope,Complete,4/21/2022,8/5/2022,9/13/2022,21510,32192,32192,DSF0001014647
16,K324,I.S. 267 - BROOKLYN,SCA CIP,SCIENCE LAB UPGRADE,Design,Complete,9/28/2022,3/6/2023,3/3/2023,107550,141590,122832,DSF0001014647
16,K324,I.S. 267 - BROOKLYN,SCA CIP,SCIENCE LAB UPGRADE,Construction,In-Progress,10/4/2023,10/2/2024,,2419875,2201864,2017092,DSF0001014647
16,K324,I.S. 267 - BROOKLYN,SCA CIP,SCIENCE LAB UPGRADE,"CM,F&E",In-Progress,10/4/2023,10/2/2024,,164586,219115,200220,DSF0001014647
16,K324,I.S. 267 - BROOKLYN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Scope,Complete,6/26/2023,10/26/2023,10/25/2023,12302,20949,20949,DSF0001083848
16,K324,I.S. 267 - BROOKLYN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Design,Complete,10/26/2023,3/26/2024,4/10/2024,55361,92174,87248,DSF0001083848
16,K324,I.S. 267 - BROOKLYN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Construction,In-Progress,9/12/2024,10/16/2025,,713543,637182,275344,DSF0001083848
16,K324,I.S. 267 - BROOKLYN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,"CM,F&E",In-Progress,9/12/2024,10/16/2025,,132251,90236,45617,DSF0001083848
16,K324,I.S. 267 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Scope,Complete,7/3/2024,11/19/2024,4/3/2025,118420,175560,56335,"DSF0001065379, DSF0001093036, DSF0001120782"
16,K324,I.S. 267 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Design,In-Progress,6/9/2025,11/10/2025,,559022,559022,21734,"DSF0001065379, DSF0001093036, DSF0001120782"
16,K324,I.S. 267 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Construction,PNS,PNS,PNS,PNS,9502219,9502219,8586,"DSF0001065379, DSF0001093036, DSF0001120782"
16,K324,I.S. 267 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,"CM,F&E",PNS,PNS,PNS,PNS,862007,862007,30133,"DSF0001065379, DSF0001093036, DSF0001120782"
16,K324,I.S. 267 - BROOKLYN,SCA CIP,FLOOD ELIMINATION,Scope,Complete,7/3/2024,11/19/2024,4/3/2025,177,177,177,DSF0001093032
16,K324,I.S. 267 - BROOKLYN,SCA CIP,FLOOD ELIMINATION,Design,Complete,6/9/2025,11/10/2025,8/13/2025,710,710,710,DSF0001093032
16,K324,I.S. 267 - BROOKLYN,SCA CIP,FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,0,0,0,DSF0001093032
16,K324,I.S. 267 - BROOKLYN,SCA CIP,FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,475,475,475,DSF0001093032
16,K324,I.S. 267 - BROOKLYN,SCA IEH,"PO18-TEST ALL ROOFTOP LAYERS FOR ACM, INCL TAR PAPER AND GRAVEL LOC: AROUND MAIN STAIRCASE A, 4TH FL",Construction,In-Progress,1/9/2024,IEH,,IEH,1595,720,SCA0000072636
16,K324,I.S. 267 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000,0,DSF0001112687
16,K324,I.S. 267 - BROOKLYN,DOE - Skilled Trades,ACCESSIBILITY,Construction,In-Progress,11/30/2022,DOES,,DOES,930518,0,SCA0000070989
16,K324,I.S. 267 - BROOKLYN,DOE - Skilled Trades,CHARTER MATCH INTERIOR SPACES,Construction,In-Progress,7/5/2023,DOES,,DOES,790765,0,DSF0001083983
16,K335,P.S. 335 - BROOKLYN,SCA IEH,"PO18-ABATE INSULATION ON 2ND WATER MAIN, (1055) LOCATED IN ACCESS PANEL NEAR EXIT 2, NEXT TO STAIRS",Construction,Complete,3/28/2025,IEH,4/6/2025,IEH,16303,10596,SCA0000074096
16,K335,M.S. 898 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/24/2025,DIIR,8/12/2025,DIIR,75000,75000,DSF0001112689
16,K335,P.S. 335 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,5/28/2025,DIIR,9/29/2025,DIIR,75000,75000,DSF0001112690
16,K335,P.S. 335 - BROOKLYN,DOE - RESOA,FY21 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,500000,0,DSF0001008231
16,K335,P.S. 335 - BROOKLYN,DOE - RESOA,FY22 RESO A ELECTRICAL UPGRADE,Construction,In-Progress,9/13/2023,DOER,,DOER,87298,0,DSF0001033066
16,K455,BOYS & GIRLS HS - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Scope,Complete,2/25/2020,7/9/2020,9/21/2021,28730,36041,36041,DSF0000941792
16,K455,BOYS & GIRLS HS - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Design,Complete,11/10/2021,4/15/2022,5/4/2022,143650,159924,159924,DSF0000941792
16,K455,BOYS & GIRLS HS - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Construction,In-Progress,9/12/2022,3/4/2024,,3232125,3058478,2778265,DSF0000941792
16,K455,BOYS & GIRLS HS - BROOKLYN,SCA CIP,EXTERIOR MASONRY,"CM,F&E",In-Progress,9/12/2022,3/4/2024,,203546,470586,457526,DSF0000941792
16,K455,BOYS & GIRLS HS - BROOKLYN,SCA CIP,GYM UPGRADE,Scope,Complete,1/25/2023,5/25/2023,5/24/2023,31312,40681,40681,DSF0001066158
16,K455,BOYS & GIRLS HS - BROOKLYN,SCA CIP,GYM UPGRADE,Design,Complete,7/10/2023,11/24/2023,2/13/2024,156560,129555,122893,DSF0001066158
16,K455,BOYS & GIRLS HS - BROOKLYN,SCA CIP,GYM UPGRADE,Construction,PNS,PNS,PNS,PNS,3522602,3522602,46022,DSF0001066158
16,K455,BOYS & GIRLS HS - BROOKLYN,SCA CIP,GYM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,219184,219184,32999,DSF0001066158
